iter	Passed	Remaining
0	58	58070
1	58	29133
2	58	19483
3	58	14658
4	59	11758
5	59	9828
6	59	8451
7	59	7416
8	60	6612
9	60	5968
10	60	5440
11	60	5000
12	60	4629
13	61	4312
14	61	4035
15	61	3793
16	61	3579
17	62	3390
18	62	3219
19	62	3066
20	62	2927
21	63	2802
22	63	2688
23	63	2586
24	63	2491
25	64	2403
26	64	2322
27	64	2246
28	64	2174
29	65	2108
30	65	2045
31	65	1987
32	65	1931
33	66	1879
34	66	1830
35	66	1784
36	66	1739
37	67	1697
38	67	1657
39	67	1619
40	67	1583
41	67	1548
42	68	1516
43	68	1485
44	68	1456
45	68	1428
46	69	1402
47	69	1376
48	69	1352
49	69	1329
50	70	1307
51	70	1285
52	70	1263
53	70	1242
54	71	1221
55	71	1202
56	71	1183
57	71	1164
58	71	1146
59	72	1129
60	72	1113
61	72	1097
62	72	1084
63	73	1069
64	73	1054
65	73	1040
66	73	1027
67	73	1012
68	74	999
69	74	988
70	74	976
71	74	966
72	75	955
73	75	944
74	75	934
75	76	924
76	76	915
77	76	905
78	76	896
79	77	886
80	77	876
81	77	867
82	77	859
83	77	850
84	78	840
85	78	832
86	78	822
87	78	814
88	78	807
89	79	800
90	79	794
91	79	787
92	80	780
93	80	773
94	80	767
95	80	760
96	81	754
97	81	747
98	81	741
99	81	735
100	81	729
101	82	722
102	82	716
103	82	711
104	82	705
105	83	700
106	83	694
107	83	689
108	83	683
109	83	678
110	84	673
111	84	668
112	84	663
113	84	658
114	85	654
115	85	649
116	85	644
117	85	639
118	85	634
119	86	630
120	86	626
121	86	622
122	86	616
123	86	612
124	86	608
125	87	604
126	87	600
127	87	595
128	87	592
129	87	588
130	88	584
131	88	580
132	88	577
133	88	573
134	88	570
135	89	566
136	89	562
137	89	559
138	89	556
139	90	552
140	90	549
141	90	546
142	90	543
143	90	540
144	91	537
145	91	534
146	91	531
147	91	528
148	92	525
149	92	523
150	92	520
151	92	517
152	92	514
153	93	511
154	93	509
155	93	506
156	93	504
157	94	501
158	94	498
159	94	496
160	94	493
161	94	491
162	95	488
163	95	486
164	95	483
165	95	481
166	95	478
167	96	476
168	96	473
169	96	471
170	96	469
171	97	467
172	97	465
173	97	463
174	97	460
175	97	458
176	98	456
177	98	454
178	98	452
179	98	450
180	98	447
181	99	445
182	99	443
183	99	441
184	99	439
185	99	437
186	100	435
187	100	433
188	100	431
189	100	430
190	101	428
191	101	426
192	101	424
193	101	423
194	102	421
195	102	419
196	102	417
197	102	415
198	102	413
199	103	412
200	103	410
201	103	408
202	103	407
203	103	405
204	104	404
205	104	402
206	104	401
207	105	399
208	105	398
209	105	397
210	105	395
211	106	394
212	106	392
213	106	391
214	106	390
215	107	388
216	107	387
217	107	385
218	107	384
219	107	382
220	108	381
221	108	380
222	108	379
223	109	377
224	109	376
225	109	374
226	109	373
227	109	372
228	110	370
229	110	369
230	110	368
231	110	367
232	111	365
233	111	364
234	111	363
235	111	361
236	111	360
237	112	359
238	112	357
239	112	356
240	112	355
241	113	354
242	113	353
243	113	351
244	113	350
245	113	349
246	114	348
247	114	346
248	114	345
249	114	344
250	114	343
251	115	341
252	115	340
253	115	339
254	115	338
255	116	337
256	116	336
257	116	335
258	116	334
259	117	333
260	117	332
261	117	331
262	117	330
263	117	328
264	118	327
265	118	326
266	118	325
267	118	324
268	119	323
269	119	322
270	119	321
271	119	320
272	119	319
273	120	318
274	120	317
275	120	316
276	120	315
277	121	314
278	121	313
279	121	312
280	121	311
281	122	310
282	122	310
283	122	309
284	122	308
285	123	307
286	123	306
287	123	305
288	123	304
289	124	304
290	124	303
291	124	302
292	124	301
293	125	300
294	125	299
295	125	298
296	125	297
297	125	296
298	126	295
299	126	294
300	126	293
301	126	292
302	126	291
303	127	290
304	127	290
305	127	289
306	127	288
307	128	287
308	128	286
309	128	285
310	128	284
311	128	284
312	129	283
313	129	282
314	129	281
315	129	280
316	129	280
317	130	279
318	130	278
319	130	277
320	131	277
321	131	276
322	131	275
323	131	274
324	131	274
325	132	273
326	132	272
327	132	271
328	132	270
329	133	270
330	133	269
331	133	268
332	133	267
333	133	267
334	134	266
335	134	265
336	134	264
337	134	264
338	135	263
339	135	262
340	135	261
341	135	261
342	135	260
343	136	259
344	136	258
345	136	258
346	136	257
347	137	256
348	137	256
349	137	255
350	137	254
351	137	254
352	138	253
353	138	252
354	138	251
355	138	251
356	139	250
357	139	249
358	139	249
359	139	248
360	140	247
361	140	247
362	140	246
363	140	245
364	140	245
365	141	244
366	141	243
367	141	243
368	141	242
369	142	241
370	142	241
371	142	240
372	142	240
373	143	239
374	143	238
375	143	238
376	143	237
377	143	236
378	144	236
379	144	235
380	144	234
381	144	234
382	145	233
383	145	233
384	145	232
385	145	231
386	145	231
387	146	230
388	146	229
389	146	229
390	146	228
391	147	228
392	147	227
393	147	226
394	147	226
395	147	225
396	148	224
397	148	224
398	148	223
399	148	223
400	148	222
401	149	221
402	149	221
403	149	220
404	149	220
405	150	219
406	150	218
407	150	218
408	150	217
409	150	217
410	151	216
411	151	216
412	151	215
413	151	214
414	152	214
415	152	213
416	152	213
417	152	212
418	152	212
419	153	211
420	153	210
421	153	210
422	153	209
423	154	209
424	154	208
425	154	208
426	154	207
427	154	207
428	155	206
429	155	205
430	155	205
431	155	204
432	156	204
433	156	203
434	156	203
435	156	202
436	157	202
437	157	201
438	157	201
439	157	200
440	157	200
441	158	199
442	158	199
443	158	198
444	159	198
445	159	197
446	159	197
447	159	196
448	159	196
449	160	195
450	160	195
451	160	194
452	160	194
453	160	193
454	161	193
455	161	192
456	161	192
457	161	191
458	161	190
459	162	190
460	162	189
461	162	189
462	162	189
463	163	188
464	163	188
465	163	187
466	163	187
467	164	186
468	164	186
469	164	185
470	164	185
471	165	184
472	165	184
473	165	183
474	165	183
475	165	182
476	166	182
477	166	181
478	166	181
479	166	180
480	167	180
481	167	179
482	167	179
483	167	178
484	168	178
485	168	178
486	168	177
487	168	177
488	169	176
489	169	176
490	169	175
491	169	175
492	169	174
493	170	174
494	170	173
495	170	173
496	170	172
497	171	172
498	171	172
499	171	171
500	171	171
501	172	170
502	172	170
503	172	169
504	172	169
505	173	168
506	173	168
507	173	168
508	173	167
509	173	167
510	174	166
511	174	166
512	174	165
513	174	165
514	174	164
515	175	164
516	175	163
517	175	163
518	175	162
519	176	162
520	176	162
521	176	161
522	176	161
523	176	160
524	177	160
525	177	159
526	177	159
527	177	158
528	177	158
529	178	158
530	178	157
531	178	157
532	178	156
533	179	156
534	179	155
535	179	155
536	179	155
537	180	154
538	180	154
539	180	153
540	180	153
541	180	152
542	181	152
543	181	151
544	181	151
545	181	151
546	181	150
547	182	150
548	182	149
549	182	149
550	182	148
551	182	148
552	183	148
553	183	147
554	183	147
555	183	146
556	183	146
557	184	145
558	184	145
559	184	144
560	184	144
561	184	144
562	185	143
563	185	143
564	185	142
565	185	142
566	185	141
567	186	141
568	186	141
569	186	140
570	186	140
571	187	139
572	187	139
573	187	139
574	187	138
575	187	138
576	187	137
577	188	137
578	188	136
579	188	136
580	188	136
581	188	135
582	189	135
583	189	134
584	189	134
585	189	133
586	189	133
587	190	133
588	190	132
589	190	132
590	190	131
591	190	131
592	191	131
593	191	130
594	191	130
595	191	129
596	191	129
597	192	129
598	192	128
599	192	128
600	192	127
601	192	127
602	193	127
603	193	126
604	193	126
605	193	125
606	193	125
607	194	125
608	194	124
609	194	124
610	194	123
611	194	123
612	195	123
613	195	122
614	195	122
615	195	121
616	195	121
617	196	121
618	196	120
619	196	120
620	196	120
621	196	119
622	197	119
623	197	118
624	197	118
625	197	118
626	197	117
627	198	117
628	198	116
629	198	116
630	198	116
631	199	115
632	199	115
633	199	115
634	199	114
635	199	114
636	200	113
637	200	113
638	200	113
639	200	112
640	200	112
641	201	112
642	201	111
643	201	111
644	201	111
645	201	110
646	202	110
647	202	109
648	202	109
649	202	109
650	202	108
651	203	108
652	203	108
653	203	107
654	203	107
655	204	107
656	204	106
657	204	106
658	204	105
659	204	105
660	205	105
661	205	104
662	205	104
663	205	104
664	205	103
665	206	103
666	206	102
667	206	102
668	206	102
669	206	101
670	207	101
671	207	101
672	207	100
673	207	100
674	207	100
675	208	99
676	208	99
677	208	99
678	208	98
679	208	98
680	209	98
681	209	97
682	209	97
683	209	96
684	210	96
685	210	96
686	210	95
687	210	95
688	210	95
689	210	94
690	211	94
691	211	94
692	211	93
693	211	93
694	212	93
695	212	92
696	212	92
697	213	92
698	213	91
699	213	91
700	213	91
701	214	90
702	214	90
703	214	90
704	214	89
705	214	89
706	215	89
707	215	88
708	215	88
709	215	88
710	216	87
711	216	87
712	216	87
713	216	86
714	216	86
715	217	86
716	217	85
717	217	85
718	217	85
719	217	84
720	218	84
721	218	84
722	218	83
723	218	83
724	218	83
725	219	82
726	219	82
727	219	82
728	219	81
729	220	81
730	220	81
731	220	80
732	220	80
733	220	80
734	221	79
735	221	79
736	221	79
737	221	78
738	221	78
739	222	78
740	222	77
741	222	77
742	222	77
743	223	76
744	223	76
745	223	76
746	223	75
747	223	75
748	224	75
749	224	74
750	224	74
751	224	74
752	225	73
753	225	73
754	225	73
755	225	72
756	226	72
757	226	72
758	226	71
759	226	71
760	227	71
761	227	71
762	227	70
763	227	70
764	228	70
765	228	69
766	229	69
767	229	69
768	229	68
769	229	68
770	230	68
771	230	68
772	230	67
773	230	67
774	231	67
775	231	66
776	231	66
777	231	66
778	232	65
779	232	65
780	232	65
781	232	64
782	232	64
783	233	64
784	233	63
785	233	63
786	233	63
787	233	62
788	234	62
789	234	62
790	234	62
791	234	61
792	235	61
793	235	61
794	235	60
795	235	60
796	236	60
797	236	59
798	236	59
799	236	59
800	237	58
801	237	58
802	237	58
803	237	58
804	238	57
805	238	57
806	238	57
807	238	56
808	239	56
809	239	56
810	239	55
811	239	55
812	240	55
813	240	54
814	240	54
815	240	54
816	240	53
817	240	53
818	241	53
819	241	52
820	241	52
821	241	52
822	242	52
823	242	51
824	242	51
825	242	51
826	243	50
827	243	50
828	243	50
829	243	49
830	243	49
831	244	49
832	244	48
833	244	48
834	244	48
835	245	48
836	245	47
837	245	47
838	245	47
839	246	46
840	246	46
841	246	46
842	246	45
843	246	45
844	247	45
845	247	45
846	247	44
847	247	44
848	247	44
849	248	43
850	248	43
851	248	43
852	248	42
853	248	42
854	249	42
855	249	41
856	249	41
857	249	41
858	249	41
859	250	40
860	250	40
861	250	40
862	250	39
863	251	39
864	251	39
865	251	38
866	251	38
867	251	38
868	252	38
869	252	37
870	252	37
871	252	37
872	252	36
873	253	36
874	253	36
875	253	35
876	253	35
877	253	35
878	254	34
879	254	34
880	254	34
881	254	34
882	254	33
883	255	33
884	255	33
885	255	32
886	255	32
887	255	32
888	256	31
889	256	31
890	256	31
891	256	31
892	257	30
893	257	30
894	257	30
895	258	29
896	258	29
897	258	29
898	258	29
899	259	28
900	259	28
901	259	28
902	259	27
903	259	27
904	260	27
905	260	27
906	260	26
907	260	26
908	260	26
909	261	25
910	261	25
911	261	25
912	261	24
913	262	24
914	262	24
915	262	24
916	262	23
917	262	23
918	263	23
919	263	22
920	263	22
921	263	22
922	263	22
923	264	21
924	264	21
925	264	21
926	264	20
927	264	20
928	265	20
929	265	19
930	265	19
931	265	19
932	265	19
933	266	18
934	266	18
935	266	18
936	266	17
937	266	17
938	267	17
939	267	17
940	267	16
941	267	16
942	267	16
943	268	15
944	268	15
945	268	15
946	268	15
947	268	14
948	269	14
949	269	14
950	269	13
951	269	13
952	269	13
953	270	13
954	270	12
955	270	12
956	270	12
957	270	11
958	271	11
959	271	11
960	271	11
961	271	10
962	271	10
963	272	10
964	272	9
965	272	9
966	272	9
967	273	9
968	273	8
969	273	8
970	273	8
971	273	7
972	273	7
973	274	7
974	274	7
975	274	6
976	274	6
977	274	6
978	275	5
979	275	5
980	275	5
981	275	5
982	275	4
983	276	4
984	276	4
985	276	3
986	276	3
987	276	3
988	277	3
989	277	2
990	277	2
991	277	2
992	277	1
993	278	1
994	278	1
995	278	1
996	278	0
997	278	0
998	279	0
999	279	0
