iter	Passed	Remaining
0	57	57838
1	58	29007
2	58	19392
3	58	14609
4	59	11754
5	59	9820
6	59	8443
7	59	7405
8	59	6598
9	60	5951
10	60	5423
11	60	4983
12	60	4610
13	60	4289
14	61	4011
15	61	3768
16	61	3553
17	61	3363
18	61	3193
19	62	3039
20	62	2901
21	62	2774
22	62	2659
23	62	2554
24	63	2457
25	63	2368
26	63	2284
27	63	2206
28	63	2135
29	63	2068
30	64	2006
31	64	1948
32	64	1897
33	64	1845
34	65	1796
35	65	1750
36	65	1706
37	65	1664
38	65	1624
39	66	1587
40	66	1551
41	66	1517
42	66	1487
43	67	1455
44	67	1425
45	67	1397
46	67	1369
47	67	1343
48	67	1319
49	68	1296
50	68	1273
51	68	1250
52	68	1229
53	68	1208
54	69	1188
55	69	1169
56	69	1150
57	69	1132
58	69	1115
59	70	1098
60	70	1082
61	70	1066
62	70	1051
63	70	1036
64	71	1022
65	71	1008
66	71	998
67	71	986
68	72	975
69	72	963
70	72	952
71	72	940
72	73	928
73	73	917
74	73	906
75	73	895
76	73	885
77	74	875
78	74	865
79	74	855
80	74	846
81	74	837
82	74	826
83	75	817
84	75	809
85	75	801
86	75	794
87	75	786
88	76	778
89	76	771
90	76	763
91	76	756
92	76	749
93	76	742
94	77	735
95	77	728
96	77	721
97	77	715
98	77	709
99	78	703
100	78	697
101	78	691
102	78	685
103	78	679
104	79	674
105	79	668
106	79	663
107	79	658
108	79	652
109	80	647
110	80	642
111	80	637
112	80	633
113	80	628
114	81	624
115	81	619
116	81	614
117	81	609
118	81	605
119	82	602
120	82	597
121	82	593
122	82	589
123	82	585
124	83	581
125	83	577
126	83	572
127	83	569
128	83	565
129	84	562
130	84	558
131	84	555
132	84	551
133	84	548
134	84	544
135	85	541
136	85	537
137	85	534
138	85	531
139	85	527
140	86	524
141	86	520
142	86	517
143	86	514
144	86	511
145	86	508
146	87	505
147	87	503
148	87	500
149	87	498
150	88	495
151	88	492
152	88	490
153	88	487
154	88	484
155	89	482
156	89	479
157	89	478
158	90	476
159	90	473
160	90	470
161	90	468
162	90	466
163	91	463
164	91	461
165	91	459
166	91	456
167	91	454
168	91	452
169	92	449
170	92	447
171	92	445
172	92	442
173	92	440
174	93	438
175	93	436
176	93	434
177	93	432
178	93	430
179	94	428
180	94	426
181	94	424
182	94	422
183	94	420
184	95	418
185	95	416
186	95	414
187	95	412
188	95	410
189	95	409
190	96	407
191	96	405
192	96	403
193	96	401
194	96	399
195	97	398
196	97	396
197	97	394
198	97	393
199	97	391
200	98	389
201	98	388
202	98	386
203	98	384
204	98	383
205	99	381
206	99	380
207	99	378
208	99	377
209	99	375
210	100	374
211	100	372
212	100	371
213	100	369
214	100	367
215	100	366
216	101	364
217	101	363
218	101	361
219	101	360
220	101	358
221	102	357
222	102	356
223	102	354
224	102	353
225	102	352
226	103	351
227	103	349
228	103	348
229	103	347
230	103	346
231	104	344
232	104	343
233	104	342
234	104	341
235	104	339
236	105	338
237	105	337
238	105	336
239	105	334
240	105	333
241	106	332
242	106	331
243	106	329
244	106	328
245	106	327
246	107	326
247	107	325
248	107	324
249	107	323
250	107	321
251	108	320
252	108	319
253	108	318
254	108	317
255	109	316
256	109	316
257	109	315
258	109	314
259	110	313
260	110	312
261	110	311
262	110	310
263	110	309
264	111	307
265	111	306
266	111	305
267	111	304
268	111	303
269	111	302
270	112	301
271	112	300
272	112	299
273	112	298
274	112	297
275	113	296
276	113	295
277	113	294
278	113	294
279	114	293
280	114	292
281	114	291
282	114	290
283	114	289
284	114	288
285	115	287
286	115	286
287	115	285
288	115	284
289	115	283
290	116	282
291	116	281
292	116	280
293	116	279
294	116	279
295	116	278
296	117	277
297	117	276
298	117	275
299	117	274
300	118	274
301	118	273
302	118	273
303	118	272
304	119	271
305	119	270
306	119	269
307	119	269
308	120	268
309	120	267
310	120	266
311	120	266
312	120	265
313	121	264
314	121	263
315	121	263
316	121	262
317	122	261
318	122	261
319	122	260
320	122	259
321	122	258
322	123	257
323	123	257
324	123	256
325	123	255
326	123	255
327	124	254
328	124	253
329	124	253
330	124	252
331	125	251
332	125	250
333	125	250
334	125	249
335	125	248
336	126	248
337	126	247
338	126	246
339	126	246
340	126	245
341	127	244
342	127	243
343	127	243
344	127	242
345	127	241
346	128	241
347	128	240
348	128	239
349	128	238
350	128	238
351	129	237
352	129	236
353	129	236
354	129	235
355	129	234
356	130	234
357	130	233
358	130	233
359	130	232
360	130	231
361	131	231
362	131	230
363	131	229
364	131	229
365	131	228
366	132	227
367	132	227
368	132	226
369	132	225
370	132	225
371	132	224
372	133	223
373	133	223
374	133	222
375	133	221
376	133	221
377	134	220
378	134	219
379	134	219
380	134	218
381	134	218
382	135	217
383	135	217
384	135	216
385	135	215
386	135	215
387	136	214
388	136	214
389	136	213
390	136	212
391	136	212
392	137	211
393	137	211
394	137	210
395	137	210
396	138	209
397	138	209
398	138	208
399	138	207
400	138	207
401	138	206
402	139	206
403	139	205
404	139	204
405	139	204
406	139	203
407	140	203
408	140	202
409	140	202
410	140	201
411	140	201
412	141	200
413	141	199
414	141	199
415	141	198
416	141	198
417	142	197
418	142	197
419	142	196
420	142	196
421	142	195
422	142	195
423	143	194
424	143	193
425	143	193
426	143	192
427	143	192
428	144	191
429	144	191
430	144	190
431	144	190
432	144	189
433	144	189
434	145	188
435	145	187
436	145	187
437	145	186
438	145	186
439	146	185
440	146	185
441	146	184
442	146	184
443	146	183
444	146	183
445	147	182
446	147	182
447	147	181
448	147	181
449	147	180
450	148	180
451	148	179
452	148	179
453	148	178
454	148	178
455	148	177
456	149	177
457	149	176
458	149	176
459	149	175
460	149	175
461	150	174
462	150	174
463	150	174
464	150	173
465	150	173
466	151	172
467	151	172
468	151	171
469	151	171
470	151	170
471	152	170
472	152	169
473	152	169
474	152	168
475	152	168
476	152	167
477	153	167
478	153	166
479	153	166
480	153	165
481	153	165
482	154	164
483	154	164
484	154	164
485	154	163
486	155	163
487	155	162
488	155	162
489	155	162
490	156	161
491	156	161
492	156	160
493	156	160
494	156	159
495	156	159
496	157	159
497	157	158
498	157	158
499	157	157
500	157	157
501	158	156
502	158	156
503	158	155
504	158	155
505	158	155
506	159	154
507	159	154
508	159	153
509	159	153
510	159	153
511	160	152
512	160	152
513	160	151
514	160	151
515	160	150
516	161	150
517	161	150
518	161	149
519	161	149
520	161	148
521	161	148
522	162	147
523	162	147
524	162	146
525	162	146
526	162	146
527	163	145
528	163	145
529	163	144
530	163	144
531	163	144
532	163	143
533	164	143
534	164	142
535	164	142
536	164	141
537	164	141
538	165	141
539	165	140
540	165	140
541	165	139
542	165	139
543	165	139
544	166	138
545	166	138
546	166	137
547	166	137
548	167	137
549	167	136
550	167	136
551	167	136
552	167	135
553	167	135
554	168	134
555	168	134
556	168	134
557	168	133
558	168	133
559	169	132
560	169	132
561	169	132
562	169	131
563	169	131
564	169	130
565	170	130
566	170	130
567	170	129
568	170	129
569	170	128
570	171	128
571	171	128
572	171	127
573	171	127
574	171	126
575	171	126
576	172	126
577	172	125
578	172	125
579	172	125
580	172	124
581	173	124
582	173	123
583	173	123
584	173	123
585	173	122
586	174	122
587	174	122
588	174	121
589	174	121
590	174	121
591	175	120
592	175	120
593	175	119
594	175	119
595	175	119
596	176	118
597	176	118
598	176	118
599	176	117
600	176	117
601	177	117
602	177	116
603	177	116
604	177	115
605	177	115
606	177	115
607	178	114
608	178	114
609	178	114
610	178	113
611	178	113
612	179	113
613	179	112
614	179	112
615	179	112
616	179	111
617	180	111
618	180	110
619	180	110
620	180	110
621	180	109
622	181	109
623	181	109
624	181	108
625	181	108
626	181	108
627	182	107
628	182	107
629	182	107
630	182	106
631	182	106
632	183	106
633	183	105
634	183	105
635	183	105
636	183	104
637	184	104
638	184	104
639	184	103
640	184	103
641	185	103
642	185	102
643	185	102
644	185	102
645	185	101
646	185	101
647	186	101
648	186	100
649	186	100
650	186	100
651	186	99
652	187	99
653	187	99
654	187	98
655	187	98
656	187	98
657	188	97
658	188	97
659	188	97
660	188	96
661	188	96
662	189	96
663	189	95
664	189	95
665	189	95
666	189	94
667	190	94
668	190	94
669	190	93
670	190	93
671	190	93
672	191	92
673	191	92
674	191	92
675	191	91
676	191	91
677	192	91
678	192	90
679	192	90
680	192	90
681	192	89
682	192	89
683	193	89
684	193	88
685	193	88
686	193	88
687	193	87
688	194	87
689	194	87
690	194	86
691	194	86
692	194	86
693	195	86
694	195	85
695	195	85
696	195	85
697	195	84
698	196	84
699	196	84
700	196	83
701	196	83
702	196	83
703	197	82
704	197	82
705	197	82
706	197	81
707	197	81
708	198	81
709	198	80
710	198	80
711	198	80
712	198	80
713	199	79
714	199	79
715	199	79
716	199	78
717	199	78
718	200	78
719	200	77
720	200	77
721	200	77
722	200	76
723	201	76
724	201	76
725	201	76
726	201	75
727	201	75
728	202	75
729	202	74
730	202	74
731	202	74
732	202	73
733	202	73
734	203	73
735	203	72
736	203	72
737	203	72
738	203	72
739	204	71
740	204	71
741	204	71
742	204	70
743	204	70
744	205	70
745	205	69
746	205	69
747	205	69
748	205	68
749	206	68
750	206	68
751	206	68
752	206	67
753	206	67
754	207	67
755	207	66
756	207	66
757	207	66
758	207	65
759	208	65
760	208	65
761	208	65
762	208	64
763	208	64
764	209	64
765	209	63
766	209	63
767	209	63
768	209	63
769	209	62
770	210	62
771	210	62
772	210	61
773	210	61
774	210	61
775	211	60
776	211	60
777	211	60
778	211	60
779	211	59
780	212	59
781	212	59
782	212	58
783	212	58
784	212	58
785	213	57
786	213	57
787	213	57
788	213	57
789	214	56
790	214	56
791	214	56
792	214	56
793	214	55
794	215	55
795	215	55
796	215	54
797	215	54
798	215	54
799	216	54
800	216	53
801	216	53
802	216	53
803	216	52
804	217	52
805	217	52
806	217	52
807	217	51
808	217	51
809	218	51
810	218	50
811	218	50
812	218	50
813	218	50
814	219	49
815	219	49
816	219	49
817	219	48
818	219	48
819	220	48
820	220	48
821	220	47
822	220	47
823	220	47
824	220	46
825	221	46
826	221	46
827	221	46
828	221	45
829	221	45
830	222	45
831	222	44
832	222	44
833	222	44
834	222	44
835	223	43
836	223	43
837	223	43
838	223	42
839	223	42
840	224	42
841	224	42
842	224	41
843	224	41
844	224	41
845	225	40
846	225	40
847	225	40
848	225	40
849	225	39
850	226	39
851	226	39
852	226	39
853	226	38
854	226	38
855	227	38
856	227	37
857	227	37
858	227	37
859	227	37
860	228	36
861	228	36
862	228	36
863	228	36
864	229	35
865	229	35
866	229	35
867	229	34
868	229	34
869	229	34
870	230	34
871	230	33
872	230	33
873	230	33
874	230	32
875	231	32
876	231	32
877	231	32
878	231	31
879	231	31
880	232	31
881	232	31
882	232	30
883	232	30
884	232	30
885	233	29
886	233	29
887	233	29
888	233	29
889	233	28
890	234	28
891	234	28
892	234	28
893	234	27
894	234	27
895	235	27
896	235	27
897	235	26
898	235	26
899	235	26
900	235	25
901	236	25
902	236	25
903	236	25
904	236	24
905	236	24
906	237	24
907	237	24
908	237	23
909	237	23
910	237	23
911	238	22
912	238	22
913	238	22
914	238	22
915	238	21
916	239	21
917	239	21
918	239	21
919	239	20
920	239	20
921	240	20
922	240	20
923	240	19
924	240	19
925	240	19
926	241	18
